NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
BP Loxton,BP,French Road,Loxton,South Australia,-34.427516091,140.593960671
BP Wollongong,BP,438 Crown Street,West Wollongong,New South Wales,-34.425044,150.872915
Ardrossan Roadhouse,BP,2 Main Coast Road,Ardrossan,South Australia,-34.415265,137.912654
BP Fairy Meadow,BP,224 Princes Highway,Fairy Meadow,New South Wales,-34.4034409999999,150.891662
BP Towradgi,BP,162 Pioneer Road,Towradgi,New South Wales,-34.3841169999999,150.906485
Eglington Bros,BP,12-18 Yorketown Road,Maitland,South Australia,-34.379265,137.671169
BP Maitland,BP,21 Maitland-Port Victoria Road,Maitland,South Australia,-34.379203,137.668798
Blanchetown Roadhouse,BP,Sturt Highway,Blanchetown,South Australia,-34.3507769999999,139.602979
BP Kapunda Main Street,BP,122 Main Street,Kapunda,South Australia,-34.3457129999999,138.912055
BP Woonoona,BP,426 Princes Highway,Woonona,New South Wales,-34.34189,150.905494
BP Kapunda,BP,1 Mildred Street,Kapunda,South Australia,-34.3390929999999,138.917042
BP Berri,BP,1 Vaughan Terrace,Berri,South Australia,-34.2874209999999,140.602255
BP Picton,BP,403 Argyle Street,Picton,New South Wales,-34.188141,150.605092
Port Wakefield Truck Stop,BP,22 Catherine Street,Port Wakefield,South Australia,-34.180765,138.154428
BP Airds,BP,60 Riverside Drive,Airds,New South Wales,-34.085854,150.828687
The Oaks Garage Convenience Store,BP,38 John Street,The Oaks,New South Wales,-34.0801559999999,150.570451
BP Express Engadine,BP,1234 Princes Highway,Engadine,New South Wales,-34.077367,151.011216
Moonta ,BP,2 George Street,Moonta,South Australia,-34.068923,137.592591
BP Engadine,BP,963-965 Old Princes Highway,Engadine,New South Wales,-34.0643059999999,151.016685
BP Connect Macarthur,BP,2 Blaxland Road,Campbelltown,New South Wales,-34.053193,150.823325
BP Connect Cronulla,BP,46-50 Kingsway,Cronulla,New South Wales,-34.0510439999999,151.150737
BP Loftus,BP,117 Loftus Avenue,Loftus,New South Wales,-34.0457099999999,151.050805
BP Connect Caringbah,BP,54 Captain Cook Drive,Caringbah,New South Wales,-34.0329629999999,151.125076
BP Express Gymea,BP,758-760 Kingsway,Gymea,New South Wales,-34.032906,151.085221
BP Kirrawee,BP,596 Princes Highway,Kirrawee,New South Wales,-34.032299,151.07115
BP Connect Eagle Vale,BP,10 Eagle Vale Drive,Eagle Vale,New South Wales,-34.031258,150.816335
Auburn Main North,7-Eleven Pty Ltd,Main North Road,Auburn,South Australia,-34.027654382,138.686034966
BP Sans Souci,BP,516-522 Rocky Point Road,Sans Souci,New South Wales,-33.992532,151.132294
BP Express Glenquarie,BP,Victoria Road and Harold Street,Macquarie Fields,New South Wales,-33.985102,150.893505
Denham Court ,BP,505 Campbelltown Road,Denham Court,New South Wales,-33.9822599999999,150.846609
BP Carss Park,BP,294 Princes Highway,Blakehurst,New South Wales,-33.981995,151.117807
BP Lugarno,Caltex,1044-1046 Forest Road,Lugarno,New South Wales,-33.977408,151.046908
BP Connect Mortdale,BP,21 Boundary Road,Oatley,New South Wales,-33.9706449999999,151.073604
BP Leppington,BP,1389 Camden Valley Way,Leppington,New South Wales,-33.970542,150.812733
Kadina,BP,27 Agery Road,Kadina,South Australia,-33.969112407,137.717426075
BP Kadina,BP,19 Frances Terrace,Kadina,South Australia,-33.964525,137.713661
Wyangala ,BP,Lot 3 Reg Hailstone Way,Wyangala,New South Wales,-33.963362,148.954402
BP Penshurst,BP,494 Forest Road,Penshurst,New South Wales,-33.963342,151.090078
BP Express Bexley,BP,610-612 Forest Road,Bexley,New South Wales,-33.9574529999999,151.118301
BP Express Riverwood,BP,189-191 Belmore Road,Riverwood,New South Wales,-33.9556969999999,151.051168
BP Mars,BP,196 The River Road,Revesby,New South Wales,-33.9556479999999,151.016613
BP Crossroads,BP,613 Hume Highway,Casula,New South Wales,-33.9552169999999,150.894862
BP Botany Bay,BP,1579 Botany Road,Botany,New South Wales,-33.952712,151.201339
BP Davies Road,BP,9 Davies Road,Padstow,New South Wales,-33.9472289999999,151.03714
BP Connect Runway,BP,General Holmes Drive,Mascot,New South Wales,-33.9447969999999,151.185235
BP Express Casula,BP,457 Hume Highway,Casula,New South Wales,-33.940874,150.911846
BP Connect Revesby,BP,2-10 Milperra Road,Revesby,New South Wales,-33.938687,151.01782
BP Milperra,BP,5 Bullecourt Avenue,Milperra,New South Wales,-33.9375689999999,150.989016
BP South Moorebank,BP,80 Heathcote Road,Moorebank,New South Wales,-33.935871,150.935885
BP Moorefields Road,BP,146-152 Moorefields Road,Kingsgrove,New South Wales,-33.935512,151.086366
BP Wallaroo,BP,2 Victoria Street,Wallaroo,South Australia,-33.934726,137.631805
Wallaroo ,United,Irwin Street and Charles Terrace,Wallaroo,South Australia,-33.9294159999999,137.632103
BP Mascot,BP,1077 Botany Road,Mascot,New South Wales,-33.928424,151.195312
BP Bankstown,BP,126 Chapel Road South,Bankstown,New South Wales,-33.927872,151.029839
BP Liverpool,BP,73 Hoxton Park Road,Liverpool,New South Wales,-33.927513,150.909442
